insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 05:15','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 07:19','yyyy-mm-dd hh24:mi'), 1, 1);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 05:25','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 07:29','yyyy-mm-dd hh24:mi'), 2, 2);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 05:35','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 07:39','yyyy-mm-dd hh24:mi'), 3, 3);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 05:45','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 07:49','yyyy-mm-dd hh24:mi'), 4, 4);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 05:55','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 07:59','yyyy-mm-dd hh24:mi'), 5, 5);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 06:05','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 08:09','yyyy-mm-dd hh24:mi'), 6, 6);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 06:15','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 08:19','yyyy-mm-dd hh24:mi'), 7, 7);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 06:25','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 08:29','yyyy-mm-dd hh24:mi'), 8, 8);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 06:35','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 08:39','yyyy-mm-dd hh24:mi'), 9, 9);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 06:45','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 08:49','yyyy-mm-dd hh24:mi'), 10, 10);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 06:55','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 08:59','yyyy-mm-dd hh24:mi'), 11, 11);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal, to_date('2020-07-10','yyyy-mm-dd'), to_date('2020-07-10 07:05','yyyy-mm-dd hh24:mi'), to_date('2020-07-10 09:09','yyyy-mm-dd hh24:mi'), 12, 12);
