
1호선
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 05:23','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 07:25','yyyy-mm-dd hh24:mi'),1,1);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 05:31','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 07:33','yyyy-mm-dd hh24:mi'),2,2);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 05:39','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 07:41','yyyy-mm-dd hh24:mi'),3,3);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 05:47','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 07:49','yyyy-mm-dd hh24:mi'),4,4);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 05:55','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 07:57','yyyy-mm-dd hh24:mi'),5,5);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 06:03','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 08:05','yyyy-mm-dd hh24:mi'),6,6);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 06:11','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 08:13','yyyy-mm-dd hh24:mi'),7,7);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 06:19','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 08:21','yyyy-mm-dd hh24:mi'),8,8);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 06:27','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 08:29','yyyy-mm-dd hh24:mi'),9,9);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 06:35','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 08:37','yyyy-mm-dd hh24:mi'),10,10);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 06:43','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 08:45','yyyy-mm-dd hh24:mi'),11,11);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 06:51','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 08:53','yyyy-mm-dd hh24:mi'),12,12);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 06:59','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 09:01','yyyy-mm-dd hh24:mi'),13,13);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 07:07','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 09:09','yyyy-mm-dd hh24:mi'),14,14);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 07:15','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 09:17','yyyy-mm-dd hh24:mi'),15,15);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 07:23','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 09:25','yyyy-mm-dd hh24:mi'),16,16);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 07:31','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 09:33','yyyy-mm-dd hh24:mi'),17,17);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 07:39','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 09:41','yyyy-mm-dd hh24:mi'),18,18);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 07:47','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 09:49','yyyy-mm-dd hh24:mi'),19,19);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 07:55','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 09:57','yyyy-mm-dd hh24:mi'),20,20);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 08:03','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 10:05','yyyy-mm-dd hh24:mi'),21,21);
insert into tblSchedule (seq, days, starttime, endtime, runorder, trainseq) values (Schedule_seq.nextVal,to_date('2020-07-10','yyyy-mm-dd'),to_date('2020-07-10 08:11','yyyy-mm-dd hh24:mi'),to_date('2020-07-10 10:13','yyyy-mm-dd hh24:mi'),22,22);
